benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,19.23s,1794131,OPTIMAL,19.86s
J50100_2,12.16s,767512,OPTIMAL,12.82s
J50100_3,181.63s,1292764,SATISFIABLE,182.93s
J50100_4,179.85s,1739078,SATISFIABLE,181.93s
J50100_5,31.47s,1857160,OPTIMAL,38.72s
J50101_1,5.09s,38391,OPTIMAL,5.58s
J50101_2,4.82s,35822,OPTIMAL,5.19s
J50101_3,4.65s,35607,OPTIMAL,5.07s
J50101_4,4.23s,33396,OPTIMAL,4.66s
J50101_5,4.83s,30021,OPTIMAL,5.63s
J50102_1,9.40s,684290,OPTIMAL,10.38s
J50102_2,11.01s,753540,OPTIMAL,11.47s
J50102_3,10.22s,894803,OPTIMAL,10.63s
J50102_4,12.45s,1250462,OPTIMAL,13.12s
J50102_5,15.55s,1551273,OPTIMAL,16.07s
J50103_1,181.73s,1242089,SATISFIABLE,183.15s
J50103_2,182.11s,1231174,SATISFIABLE,183.63s
J50103_3,181.82s,1505732,SATISFIABLE,183.42s
J50103_4,181.86s,1109042,SATISFIABLE,187.21s
J50103_5,181.38s,952288,SATISFIABLE,183.07s
J50104_1,181.37s,994295,SATISFIABLE,182.80s
J50104_2,181.52s,1454082,SATISFIABLE,182.82s
J50104_3,181.39s,2013254,SATISFIABLE,183.26s
J50104_4,181.33s,1733327,SATISFIABLE,183.38s
J50104_5,182.51s,1461796,SATISFIABLE,183.94s
J50105_1,10.91s,372859,OPTIMAL,12.70s
J50105_2,16.03s,755199,OPTIMAL,17.29s
J50105_3,16.61s,742765,OPTIMAL,17.19s
J50105_4,17.73s,945306,OPTIMAL,18.58s
J50105_5,16.94s,678620,OPTIMAL,17.77s
J50106_1,181.75s,1811764,SATISFIABLE,183.70s
J50106_2,181.90s,1685138,SATISFIABLE,183.56s
J50106_3,181.50s,1108597,SATISFIABLE,183.38s
J50106_4,182.11s,2037490,SATISFIABLE,183.53s
J50106_5,181.52s,1791159,SATISFIABLE,182.79s
J50107_1,8.75s,120506,OPTIMAL,9.40s
J50107_2,41.65s,5631404,OPTIMAL,42.34s
J50107_3,13.01s,424179,OPTIMAL,13.75s
J50107_4,8.75s,54562,OPTIMAL,9.51s
J50107_5,7.32s,37789,OPTIMAL,7.96s
