benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,171.58s,522092524,OPTIMAL,172.87s
J50100_2,108.26s,204808910,OPTIMAL,110.67s
J50100_3,598.84s,811212487,SATISFIABLE,603.02s
J50100_4,598.81s,614857470,SATISFIABLE,602.21s
J50100_5,328.99s,830703908,OPTIMAL,332.18s
J50101_1,8.39s,10421134,OPTIMAL,10.18s
J50101_2,9.19s,7301726,OPTIMAL,9.87s
J50101_3,7.29s,7615818,OPTIMAL,8.59s
J50101_4,7.91s,5726591,OPTIMAL,8.73s
J50101_5,7.49s,6820073,OPTIMAL,8.77s
J50102_1,19.20s,24425373,OPTIMAL,20.61s
J50102_2,37.30s,34807175,OPTIMAL,38.53s
J50102_3,46.10s,46267881,OPTIMAL,47.58s
J50102_4,28.24s,33204023,OPTIMAL,28.84s
J50102_5,31.33s,32119751,OPTIMAL,32.00s
J50103_1,596.98s,2406624066,UNKNOWN,600.26s
J50103_2,596.24s,1666677852,UNKNOWN,600.94s
J50103_3,597.00s,1364042617,UNKNOWN,600.39s
J50103_4,596.57s,2560354737,UNKNOWN,600.66s
J50103_5,596.56s,2899080289,UNKNOWN,600.75s
J50104_1,597.68s,1605012171,UNKNOWN,600.28s
J50104_2,595.17s,1482206496,UNKNOWN,600.12s
J50104_3,596.74s,1811860142,UNKNOWN,600.49s
J50104_4,597.24s,1582489817,UNKNOWN,601.00s
J50104_5,596.08s,2319527092,UNKNOWN,600.51s
J50105_1,31.21s,40723233,OPTIMAL,34.16s
J50105_2,51.59s,84819914,OPTIMAL,54.09s
J50105_3,31.92s,85292298,OPTIMAL,32.82s
J50105_4,50.56s,65414887,OPTIMAL,51.67s
J50105_5,30.18s,84187795,OPTIMAL,31.71s
J50106_1,596.86s,2299167088,UNKNOWN,600.87s
J50106_2,597.28s,1743563060,UNKNOWN,600.46s
J50106_3,600.28s,1185769520,SATISFIABLE,604.01s
J50106_4,596.67s,1659362708,UNKNOWN,600.43s
J50106_5,599.84s,1439215791,SATISFIABLE,603.55s
J50107_1,11.39s,8642884,OPTIMAL,12.60s
J50107_2,9.44s,8299677,OPTIMAL,10.27s
J50107_3,13.14s,12450185,OPTIMAL,15.84s
J50107_4,14.64s,12240962,OPTIMAL,16.01s
J50107_5,11.73s,8874419,OPTIMAL,12.50s
J50108_1,27.13s,69457472,OPTIMAL,27.77s
J50108_2,26.33s,73056602,OPTIMAL,27.26s
J50108_3,23.87s,45778594,OPTIMAL,24.64s
J50108_4,55.59s,40078512,OPTIMAL,57.83s
J50108_5,55.24s,66257314,OPTIMAL,57.73s
J5010_1,600.48s,1668141547,SATISFIABLE,603.33s
J5010_2,599.12s,512818349,SATISFIABLE,604.16s
J5010_3,600.87s,2044650575,SATISFIABLE,604.12s
J5010_4,598.24s,1935037857,SATISFIABLE,604.03s
J5010_5,599.56s,620605194,SATISFIABLE,603.77s
J5011_1,597.91s,40780672,UNKNOWN,600.75s
J5011_2,597.51s,46548507,UNKNOWN,600.93s
J5011_3,597.29s,39812535,UNKNOWN,600.60s
J5011_4,595.97s,44927849,UNKNOWN,600.30s
J5011_5,595.98s,35920992,UNKNOWN,600.13s
J5012_1,597.11s,52385483,UNKNOWN,600.07s
J5012_2,596.21s,29137604,UNKNOWN,600.78s
J5012_3,600.03s,93964623,SATISFIABLE,603.74s
J5012_4,595.82s,52479717,UNKNOWN,600.11s
J5012_5,594.96s,48371981,UNKNOWN,600.32s
J5013_1,599.91s,491540817,SATISFIABLE,602.86s
J5013_2,596.93s,498540988,UNKNOWN,600.48s
J5013_3,596.76s,393152376,UNKNOWN,600.15s
J5013_4,595.73s,733278111,UNKNOWN,600.63s
J5013_5,597.21s,1126691035,UNKNOWN,600.49s
J5014_1,595.72s,834990578,UNKNOWN,600.52s
J5014_2,595.36s,386635226,UNKNOWN,600.86s
J5014_3,598.49s,1072375302,SATISFIABLE,603.62s
J5014_4,600.04s,665876666,SATISFIABLE,603.00s
J5014_5,598.59s,603702849,SATISFIABLE,602.80s
J5015_1,12.29s,56325514,OPTIMAL,13.39s
J5015_2,20.20s,115356991,OPTIMAL,21.72s
J5015_3,29.70s,80731731,OPTIMAL,31.08s
J5015_4,18.92s,80309157,OPTIMAL,22.46s
J5015_5,17.65s,69458315,OPTIMAL,18.81s
J5016_1,599.14s,196096777,SATISFIABLE,603.32s
J5016_2,399.10s,242620035,OPTIMAL,406.73s
J5016_3,141.40s,388002803,OPTIMAL,144.00s
J5016_4,96.62s,184105162,OPTIMAL,97.71s
J5016_5,166.69s,479727276,OPTIMAL,168.34s
J5017_1,10.74s,25554916,OPTIMAL,11.71s
J5017_2,6.97s,4414544,OPTIMAL,8.03s
J5017_3,6.33s,10581785,OPTIMAL,6.79s
J5017_4,7.86s,15566406,OPTIMAL,9.14s
J5017_5,7.56s,10246259,OPTIMAL,8.64s
J5018_1,14.87s,41461556,OPTIMAL,18.86s
J5018_2,16.27s,21572284,OPTIMAL,16.91s
J5018_3,12.04s,26824185,OPTIMAL,15.76s
J5018_4,24.74s,63448339,OPTIMAL,27.54s
J5018_5,21.86s,39617176,OPTIMAL,22.83s
J5019_1,598.03s,3750908531,UNKNOWN,600.75s
J501_1,596.75s,543231731,UNKNOWN,600.86s
J501_2,597.97s,297925773,UNKNOWN,600.80s
J501_3,595.22s,480320439,UNKNOWN,600.08s
J501_4,596.10s,450565783,UNKNOWN,600.38s
J501_5,596.96s,478393287,UNKNOWN,600.21s
J5020_1,596.55s,3642553625,UNKNOWN,600.49s
J5020_2,596.18s,3765377933,UNKNOWN,600.03s
J5020_3,599.29s,2843559392,SATISFIABLE,603.62s
J5020_4,595.04s,4351583364,UNKNOWN,600.14s
J5020_5,596.39s,3874856916,UNKNOWN,600.36s
J5021_4,48.23s,83711722,OPTIMAL,49.33s
J5021_5,599.70s,155241616,SATISFIABLE,603.15s
J5022_2,600.78s,2162241683,SATISFIABLE,603.64s
J5023_1,595.98s,60628878,UNKNOWN,600.74s
J5025_1,596.04s,323333529,UNKNOWN,600.90s
J5025_2,597.13s,1393276786,UNKNOWN,600.40s
J5025_3,595.19s,1067998826,UNKNOWN,600.11s
J5025_4,597.11s,976975255,UNKNOWN,600.71s
J5025_5,596.11s,1158443395,UNKNOWN,600.66s
J5026_1,596.72s,1367433738,UNKNOWN,600.57s
J5026_2,599.32s,363517381,SATISFIABLE,602.80s
J5026_3,597.53s,1557080369,UNKNOWN,600.38s
J5026_4,596.65s,764379380,UNKNOWN,601.00s
J5026_5,600.50s,587878802,SATISFIABLE,603.65s
J5027_1,13.92s,59579251,OPTIMAL,18.38s
J5027_2,20.26s,64915068,OPTIMAL,23.58s
J5027_3,22.54s,123943623,OPTIMAL,23.97s
J5027_4,78.02s,497757653,OPTIMAL,79.99s
J5027_5,35.58s,184299515,OPTIMAL,36.70s
J5028_1,48.29s,277982362,OPTIMAL,50.35s
J5028_2,388.93s,953079062,OPTIMAL,391.25s
J5028_3,122.68s,599562594,OPTIMAL,124.23s
J5028_4,226.36s,1238731337,OPTIMAL,228.64s
