benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,20.93,32268758,OPTIMAL,21.98
J50100_2,22.97,37212466,OPTIMAL,23.97
J50100_3,60.85,45673066,SATISFIABLE,62.89
J50100_4,61.41,43380165,SATISFIABLE,62.52
J50100_5,23.1,33832829,OPTIMAL,24.09
J50101_1,34.63,42369470,OPTIMAL,35.73
J50101_2,46.98,47260546,OPTIMAL,51.53
J50101_3,44.96,53312663,OPTIMAL,45.75
J50101_4,45.31,52338605,OPTIMAL,47.31
J50101_5,33.36,42162859,OPTIMAL,34.27
J50102_1,36.22,38881782,OPTIMAL,38.54
J50102_2,55.92,45046434,OPTIMAL,58.62
J50102_3,24.31,41511773,OPTIMAL,25.14
J50102_4,48.93,46163885,OPTIMAL,49.86
J50102_5,36.78,61303301,OPTIMAL,64.1
J50103_1,46.66,119730275,SATISFIABLE,65.98
J50103_2,61.84,124808169,SATISFIABLE,63.48
J50103_3,61.48,47894781,SATISFIABLE,63.21
J50103_4,61.56,114576243,SATISFIABLE,63.89
J50103_5,61.9,75086752,SATISFIABLE,63.46
J50104_1,62.11,112246745,SATISFIABLE,63.43
J50104_2,62.52,101811654,SATISFIABLE,64.01
J50104_3,50.89,117096089,SATISFIABLE,70.61
J50104_4,62.28,71125953,SATISFIABLE,64.15
J50104_5,62.57,100222333,SATISFIABLE,64.17
J50105_1,61.83,84659791,SATISFIABLE,64.12
J50105_2,61.63,104245030,SATISFIABLE,63.99
J50105_3,62.26,131026729,SATISFIABLE,64.0
J50105_4,61.91,89303979,SATISFIABLE,63.62
J50105_5,55.29,152845784,OPTIMAL,57.35
J50106_1,60.9,122845930,SATISFIABLE,63.85
J50106_2,61.51,77680977,SATISFIABLE,63.9
J50106_3,62.03,99679593,SATISFIABLE,63.65
J50106_4,62.11,124837559,SATISFIABLE,63.74
J50106_5,61.89,116003121,SATISFIABLE,63.39
J50107_1,61.82,123887918,SATISFIABLE,65.9
J50107_2,61.6,99041320,SATISFIABLE,67.76
J50107_3,61.9,202821502,SATISFIABLE,64.06
J50107_4,62.84,168539866,SATISFIABLE,64.52
J50107_5,61.51,91804757,SATISFIABLE,63.47
J50108_1,61.91,74667702,SATISFIABLE,63.67
J50108_2,53.87,106552497,OPTIMAL,55.69
J50108_3,61.88,92932476,SATISFIABLE,63.58
J50108_4,56.49,116525883,OPTIMAL,57.93
J50108_5,61.95,79966329,SATISFIABLE,67.13
J5010_1,62.19,85429622,SATISFIABLE,64.14
J5010_2,61.88,60843385,SATISFIABLE,63.29
J5010_3,62.4,75789650,SATISFIABLE,75.48
J5010_4,61.62,73948210,SATISFIABLE,63.61
J5010_5,61.57,57378137,SATISFIABLE,64.23
J5011_1,62.4,80503351,SATISFIABLE,63.85
J5011_2,61.73,87563070,SATISFIABLE,63.52
J5011_3,61.99,75176531,SATISFIABLE,65.72
J5011_4,62.63,129927905,SATISFIABLE,64.32
J5011_5,61.73,103393192,SATISFIABLE,63.99
J5012_1,61.95,91569826,SATISFIABLE,63.33
J5012_2,62.16,102205103,SATISFIABLE,64.15
J5012_3,62.4,87824856,SATISFIABLE,64.01
J5012_4,61.57,103505766,SATISFIABLE,63.63
J5012_5,61.28,72131607,SATISFIABLE,64.85
J5013_1,61.54,70840359,SATISFIABLE,63.51
J5013_2,61.3,76634497,SATISFIABLE,63.41
J5013_3,61.68,64095595,SATISFIABLE,63.08
J5013_4,61.33,66677282,SATISFIABLE,63.13
J5013_5,62.09,49560437,SATISFIABLE,63.46
J5014_1,62.24,72438585,SATISFIABLE,63.38
J5014_2,62.52,52400961,SATISFIABLE,63.86
J5014_3,62.21,73502234,SATISFIABLE,63.57
J5014_4,62.96,133599053,SATISFIABLE,65.5
J5014_5,61.83,77777617,SATISFIABLE,63.58
J5015_1,45.92,73852108,OPTIMAL,49.03
J5015_2,39.05,64259286,OPTIMAL,40.12
J5015_3,36.84,70569209,OPTIMAL,39.6
J5015_4,44.12,76419684,OPTIMAL,46.58
J5015_5,60.26,69373550,OPTIMAL,61.86
J5016_1,61.27,78450937,SATISFIABLE,64.61
J5016_2,46.63,52171731,OPTIMAL,50.42
J5016_3,57.64,103758683,OPTIMAL,58.97
J5016_4,55.03,71933336,SATISFIABLE,63.94
J5016_5,40.18,47108896,OPTIMAL,41.18
J5017_1,59.97,71922910,SATISFIABLE,63.5
J5017_2,30.08,55212062,OPTIMAL,45.56
J5017_3,42.75,60770096,OPTIMAL,43.76
J5017_4,61.87,70040894,SATISFIABLE,63.28
J5017_5,54.08,81607781,OPTIMAL,57.26
J5018_1,44.39,88106826,OPTIMAL,64.55
J5018_2,49.77,64666564,OPTIMAL,64.77
J5018_3,23.84,56621482,OPTIMAL,27.27
J5018_4,40.62,69898847,OPTIMAL,48.56
J5018_5,29.26,51642514,OPTIMAL,30.35
J5019_1,61.06,137207540,SATISFIABLE,64.88
J501_1,59.77,8578180,UNKNOWN,60.94
J501_2,61.46,28775588,SATISFIABLE,63.05
J501_3,58.42,26929052,SATISFIABLE,62.75
J501_4,59.38,31830713,SATISFIABLE,63.56
J501_5,59.56,6756318,UNKNOWN,60.98
J5020_1,63.27,149195422,SATISFIABLE,65.06
J5020_2,63.11,139007875,SATISFIABLE,68.29
J5020_3,59.96,189069091,SATISFIABLE,65.5
J5020_4,55.69,110498178,SATISFIABLE,64.26
J5020_5,60.48,168164920,SATISFIABLE,64.74
J5021_4,60.95,176175247,SATISFIABLE,65.27
J5021_5,55.23,148098889,SATISFIABLE,64.56
J5022_2,57.32,109408378,OPTIMAL,59.46
J5023_1,63.18,166606854,SATISFIABLE,64.91
J5025_1,62.4,90517554,SATISFIABLE,63.82
J5025_2,61.83,95564021,SATISFIABLE,63.2
J5025_3,59.51,13682163,UNKNOWN,60.58
J5025_4,60.32,14995265,UNKNOWN,61.78
