benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,713.63ms,246021,OPTIMAL,888.92ms
j2010_10,1.08s,597722,OPTIMAL,1.23s
j2010_2,525.05ms,125945,OPTIMAL,580.26ms
j2010_3,591.62ms,200674,OPTIMAL,667.27ms
j2010_4,927.82ms,347413,OPTIMAL,1.70s
j2010_5,1.22s,437086,OPTIMAL,1.77s
j2010_6,692.02ms,177259,OPTIMAL,781.91ms
j2010_7,597.27ms,140000,OPTIMAL,902.40ms
j2010_8,499.82ms,137582,OPTIMAL,584.85ms
j2010_9,553.98ms,138083,OPTIMAL,842.99ms
j2011_1,559.21ms,205327,OPTIMAL,706.28ms
j2011_10,815.04ms,193813,OPTIMAL,893.63ms
j2011_2,647.42ms,166368,OPTIMAL,740.08ms
j2011_3,703.81ms,221152,OPTIMAL,946.96ms
j2011_4,1.21s,430852,OPTIMAL,1.27s
j2011_5,882.13ms,245685,OPTIMAL,1.04s
j2011_6,2.32s,814867,OPTIMAL,2.85s
j2011_7,481.62ms,133073,OPTIMAL,550.01ms
j2011_8,1.06s,279686,OPTIMAL,1.24s
j2011_9,1.64s,604684,OPTIMAL,1.72s
j2012_1,751.03ms,253211,OPTIMAL,806.42ms
j2012_10,732.98ms,228939,OPTIMAL,922.03ms
j2012_2,755.24ms,191528,OPTIMAL,840.19ms
j2012_3,766.92ms,235803,OPTIMAL,833.46ms
j2012_4,764.04ms,289786,OPTIMAL,899.28ms
j2012_5,738.09ms,237331,OPTIMAL,835.00ms
j2012_6,1.05s,365455,OPTIMAL,1.18s
j2012_7,720.70ms,187103,OPTIMAL,851.53ms
j2012_8,560.43ms,132009,OPTIMAL,625.42ms
j2012_9,788.63ms,312868,OPTIMAL,896.78ms
j2013_1,16.09s,385347,OPTIMAL,16.27s
j2013_10,18.78s,350609,OPTIMAL,18.96s
j2013_2,9.24s,521152,OPTIMAL,9.37s
j2013_3,20.63s,529839,SATISFIABLE,20.79s
j2013_4,3.99s,859387,OPTIMAL,4.35s
j2013_5,12.47s,444586,OPTIMAL,12.60s
j2013_6,1.81s,244401,OPTIMAL,2.99s
j2013_7,7.21s,651103,OPTIMAL,7.30s
j2013_8,16.34s,509954,OPTIMAL,16.71s
j2013_9,2.39s,320166,OPTIMAL,2.80s
j2014_1,965.16ms,203146,OPTIMAL,1.02s
j2014_10,1.28s,187088,OPTIMAL,1.47s
j2014_2,1.76s,324726,OPTIMAL,1.85s
j2014_3,1.46s,231734,OPTIMAL,1.54s
j2014_4,5.12s,917527,OPTIMAL,5.25s
j2014_5,1.31s,266984,OPTIMAL,1.38s
j2014_6,1.22s,190370,OPTIMAL,1.30s
j2014_7,1.18s,194935,OPTIMAL,1.28s
j2014_8,1.70s,273296,OPTIMAL,1.78s
j2014_9,1.88s,327854,OPTIMAL,2.13s
j2015_1,1.14s,187684,OPTIMAL,1.21s
j2015_10,1.03s,183834,OPTIMAL,1.17s
j2015_2,1.40s,175513,OPTIMAL,1.66s
j2015_3,1.53s,205725,OPTIMAL,2.02s
j2015_4,1.45s,213294,OPTIMAL,1.55s
