benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,1.44s,1375186,OPTIMAL,1.61s
j2010_10,2.03s,1626240,OPTIMAL,2.16s
j2010_2,1.64s,2227668,OPTIMAL,1.76s
j2010_3,1.42s,1703824,OPTIMAL,1.65s
j2010_4,2.85s,1846514,OPTIMAL,2.92s
j2010_5,1.64s,2359975,OPTIMAL,1.83s
j2010_6,3.69s,2546417,OPTIMAL,3.92s
j2010_7,1.81s,1633074,OPTIMAL,1.94s
j2010_8,1.68s,2213168,OPTIMAL,1.75s
j2010_9,3.55s,1412411,OPTIMAL,4.23s
j2011_1,1.91s,4055066,OPTIMAL,1.98s
j2011_10,3.27s,3281093,OPTIMAL,3.37s
j2011_2,1.64s,3031248,OPTIMAL,1.77s
j2011_3,3.02s,2569926,OPTIMAL,4.02s
j2011_4,3.48s,2542209,OPTIMAL,3.55s
j2011_5,2.42s,4098534,OPTIMAL,2.51s
j2011_6,2.57s,3409473,OPTIMAL,2.64s
j2011_7,946.94ms,2164048,OPTIMAL,1.00s
j2011_8,3.53s,3226521,OPTIMAL,5.66s
j2011_9,3.48s,3233560,OPTIMAL,3.66s
j2012_1,5.16s,3071619,SATISFIABLE,5.23s
j2012_10,1.28s,3696981,OPTIMAL,1.35s
j2012_2,2.05s,4391398,OPTIMAL,2.14s
j2012_3,2.88s,5223486,OPTIMAL,2.98s
j2012_4,2.17s,3868603,OPTIMAL,2.28s
j2012_5,2.77s,6004338,OPTIMAL,2.85s
j2012_6,3.16s,7072013,OPTIMAL,3.23s
j2012_7,1.11s,3283875,OPTIMAL,1.21s
j2012_8,1.82s,3599027,OPTIMAL,1.90s
j2012_9,2.48s,2400200,OPTIMAL,2.79s
j2013_1,5.55s,1196498,SATISFIABLE,5.99s
j2013_10,5.84s,1375873,SATISFIABLE,5.96s
j2013_2,5.56s,1963446,SATISFIABLE,5.66s
j2013_3,5.16s,335643,UNKNOWN,5.28s
j2013_4,5.21s,2214159,SATISFIABLE,5.32s
j2013_5,5.90s,3073919,SATISFIABLE,6.09s
j2013_6,5.07s,2698926,SATISFIABLE,5.16s
j2013_7,5.18s,772302,UNKNOWN,5.27s
j2013_8,5.09s,1530654,SATISFIABLE,5.20s
j2013_9,5.74s,1936707,SATISFIABLE,5.90s
j2014_1,3.30s,3698816,OPTIMAL,3.46s
j2014_10,3.17s,5336508,OPTIMAL,3.25s
j2014_2,5.23s,2843007,SATISFIABLE,5.48s
j2014_3,3.47s,8393338,OPTIMAL,3.54s
j2014_4,3.12s,2832160,SATISFIABLE,6.92s
j2014_5,4.21s,4308012,OPTIMAL,4.24s
j2014_6,5.23s,3697604,SATISFIABLE,5.32s
j2014_7,4.25s,4398893,OPTIMAL,4.93s
j2014_8,5.23s,3692747,SATISFIABLE,5.31s
j2014_9,2.40s,5837351,OPTIMAL,2.48s
j2015_1,2.98s,6045238,OPTIMAL,3.03s
j2015_10,2.24s,6189649,OPTIMAL,2.37s
j2015_2,4.87s,6903238,SATISFIABLE,5.24s
j2015_3,3.27s,9741576,OPTIMAL,3.35s
j2015_4,5.06s,7728915,SATISFIABLE,5.29s
j2015_5,1.91s,6627494,OPTIMAL,1.97s
j2015_6,2.38s,9446811,OPTIMAL,2.44s
j2015_7,5.21s,6206866,SATISFIABLE,5.31s
j2015_8,5.21s,6980994,SATISFIABLE,5.39s
j2015_9,4.32s,9709544,OPTIMAL,4.48s
j2016_1,3.08s,8443715,OPTIMAL,3.19s
j2016_10,5.17s,6360545,SATISFIABLE,5.28s
j2016_2,3.99s,9104034,OPTIMAL,4.16s
j2016_3,4.66s,7860996,OPTIMAL,4.77s
j2016_4,5.27s,5269626,SATISFIABLE,5.41s
j2016_5,3.73s,7862924,OPTIMAL,3.82s
j2016_6,5.26s,7170640,SATISFIABLE,5.35s
j2016_7,4.71s,10067775,OPTIMAL,4.81s
j2016_8,5.11s,5163835,SATISFIABLE,5.23s
j2016_9,2.84s,11005525,OPTIMAL,2.94s
j2017_1,2.09s,1810732,OPTIMAL,2.80s
j2017_10,2.40s,1167657,OPTIMAL,2.52s
