benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,1.25s,1478338.0,OPTIMAL,1.62s
j2010_10,1.04s,1107506.0,OPTIMAL,1.10s
j2010_2,1.54s,2163257.0,OPTIMAL,1.62s
j2010_3,2.53s,1827052.0,OPTIMAL,2.72s
j2010_4,1.40s,1208462.0,OPTIMAL,1.65s
j2010_5,1.08s,1633137.0,OPTIMAL,1.16s
j2010_6,933.72ms,1272962.0,OPTIMAL,1.72s
j2010_7,1.90s,1456101.0,OPTIMAL,1.99s
j2010_8,983.90ms,1152507.0,OPTIMAL,1.12s
j2010_9,1.01s,523383.0,OPTIMAL,1.08s
j2011_1,2.00s,2998551.0,OPTIMAL,2.11s
j2011_10,1.58s,2454446.0,OPTIMAL,1.67s
j2011_2,1.63s,2584732.0,OPTIMAL,1.74s
j2011_3,1.48s,1892259.0,OPTIMAL,1.55s
j2011_4,3.69s,2206787.0,OPTIMAL,4.18s
j2011_5,988.70ms,1975929.0,OPTIMAL,1.51s
j2011_6,2.80s,2724179.0,OPTIMAL,2.89s
j2011_7,1.30s,1761184.0,OPTIMAL,1.37s
j2011_8,3.91s,3002311.0,OPTIMAL,3.99s
j2011_9,2.33s,1688254.0,OPTIMAL,5.57s
j2012_1,1.30s,2087476.0,OPTIMAL,1.39s
j2012_10,4.00s,5611530.0,OPTIMAL,4.12s
j2012_2,2.23s,2558620.0,OPTIMAL,2.32s
j2012_3,1.51s,1790226.0,OPTIMAL,1.66s
j2012_4,2.19s,2587593.0,OPTIMAL,2.41s
j2012_5,1.49s,2042938.0,OPTIMAL,1.81s
j2012_6,4.15s,3602814.0,OPTIMAL,4.32s
j2012_7,1.36s,2713382.0,OPTIMAL,1.44s
j2012_8,2.29s,3312034.0,OPTIMAL,2.40s
j2012_9,915.95ms,1120252.0,OPTIMAL,1.02s
j2013_1,19.01s,2332210.0,OPTIMAL,19.27s
j2013_10,20.91s,1689163.0,OPTIMAL,21.10s
j2013_2,6.80s,1768188.0,OPTIMAL,7.22s
j2013_3,27.84s,1891513.0,OPTIMAL,28.57s
j2013_4,4.76s,2213717.0,OPTIMAL,4.95s
j2013_5,24.87s,2320851.0,OPTIMAL,28.00s
j2013_6,2.21s,1923297.0,OPTIMAL,2.30s
j2013_7,13.09s,1566767.0,OPTIMAL,13.25s
j2013_8,41.45s,1595313.0,OPTIMAL,41.80s
j2013_9,3.13s,1676522.0,OPTIMAL,3.48s
j2014_1,2.00s,2289768.0,OPTIMAL,2.12s
j2014_10,3.19s,4043001.0,OPTIMAL,5.88s
j2014_2,1.77s,2890838.0,OPTIMAL,1.85s
j2014_3,4.63s,4438580.0,OPTIMAL,4.72s
j2014_4,6.17s,3835905.0,OPTIMAL,6.44s
j2014_5,3.01s,2591138.0,OPTIMAL,3.10s
j2014_6,1.74s,2421409.0,OPTIMAL,1.83s
j2014_7,2.23s,2714432.0,OPTIMAL,2.35s
j2014_8,3.62s,3528869.0,OPTIMAL,4.19s
j2014_9,4.46s,4500295.0,OPTIMAL,4.87s
j2015_1,3.12s,3754016.0,OPTIMAL,3.20s
j2015_10,2.18s,3275777.0,OPTIMAL,2.32s
j2015_2,7.11s,6681617.0,OPTIMAL,7.25s
j2015_3,2.65s,5066712.0,OPTIMAL,2.78s
j2015_4,6.84s,5435319.0,OPTIMAL,6.98s
j2015_5,6.12s,6158319.0,OPTIMAL,6.26s
j2015_6,5.92s,7927428.0,OPTIMAL,6.05s
j2015_7,2.97s,6775890.0,OPTIMAL,3.07s
j2015_8,4.03s,4851568.0,OPTIMAL,4.29s
j2015_9,7.48s,8376928.0,OPTIMAL,7.75s
j2016_1,5.48s,7343359.0,OPTIMAL,5.58s
j2016_10,5.59s,6008122.0,OPTIMAL,5.82s
j2016_2,4.83s,6872610.0,OPTIMAL,5.16s
j2016_3,6.81s,7158364.0,OPTIMAL,6.94s
j2016_4,5.40s,6663510.0,OPTIMAL,5.57s
j2016_5,6.95s,6326378.0,OPTIMAL,7.06s
j2016_6,5.26s,6647980.0,OPTIMAL,5.39s
j2016_7,6.50s,11244910.0,OPTIMAL,6.66s
j2016_8,4.53s,6028976.0,OPTIMAL,4.70s
j2016_9,2.60s,7275212.0,OPTIMAL,2.77s
j2017_1,708.14ms,865774.0,OPTIMAL,984.31ms
j2017_10,816.61ms,727566.0,OPTIMAL,881.73ms
j2017_2,599.39ms,535063.0,OPTIMAL,677.06ms
j2017_3,1.18s,1253740.0,OPTIMAL,1.83s
j2017_4,709.87ms,812682.0,OPTIMAL,2.61s
j2017_5,1.10s,1023858.0,OPTIMAL,1.17s
j2017_6,485.81ms,533274.0,OPTIMAL,562.20ms
j2017_7,1.05s,1269868.0,OPTIMAL,1.12s
j2017_8,1.31s,1131271.0,OPTIMAL,1.84s
j2017_9,769.08ms,1125927.0,OPTIMAL,856.70ms
j2018_1,3.19s,2074376.0,OPTIMAL,3.29s
j2018_10,1.24s,1586459.0,OPTIMAL,1.36s
j2018_2,1.69s,2750741.0,OPTIMAL,1.78s
j2018_3,2.29s,1805883.0,OPTIMAL,2.49s
j2018_4,979.44ms,1206383.0,OPTIMAL,1.06s
j2018_5,1.35s,1811038.0,OPTIMAL,1.47s
j2018_6,1.46s,1494968.0,OPTIMAL,1.56s
j2018_7,1.23s,1632839.0,OPTIMAL,1.57s
j2018_8,2.09s,1832727.0,OPTIMAL,2.30s
j2018_9,1.53s,1155073.0,OPTIMAL,1.73s
j2019_1,1.76s,2641339.0,OPTIMAL,1.87s
j2019_10,1.03s,1300307.0,OPTIMAL,1.14s
j2019_2,1.83s,1542983.0,OPTIMAL,1.96s
j2019_3,1.47s,1772419.0,OPTIMAL,2.12s
j2019_4,1.05s,1623560.0,OPTIMAL,1.11s
j2019_5,1.97s,3010324.0,OPTIMAL,2.05s
j2019_6,1.53s,1752381.0,OPTIMAL,1.59s
j2019_7,3.31s,2499958.0,OPTIMAL,3.51s
j2019_8,1.44s,2148475.0,OPTIMAL,1.81s
j2019_9,2.96s,2325123.0,OPTIMAL,3.05s
j2020_1,1.67s,2562156.0,OPTIMAL,1.98s
j2020_10,3.15s,3648062.0,OPTIMAL,3.24s
j2020_2,1.97s,2808772.0,OPTIMAL,2.29s
j2020_3,1.53s,2291172.0,OPTIMAL,1.72s
j2020_4,2.10s,3209128.0,OPTIMAL,2.23s
j2020_5,1.20s,2416275.0,OPTIMAL,1.31s
j2020_6,3.41s,4317445.0,OPTIMAL,3.57s
j2020_7,1.81s,3414126.0,OPTIMAL,1.88s
j2020_8,3.29s,3737711.0,OPTIMAL,3.37s
j2020_9,2.48s,2351949.0,OPTIMAL,2.60s
j2021_1,5.23s,2022636.0,OPTIMAL,5.31s
j2021_10,6.17s,2026263.0,OPTIMAL,6.37s
j2021_2,11.09s,2008073.0,OPTIMAL,12.13s
j2021_3,2.54s,2226133.0,OPTIMAL,2.99s
j2021_4,1.73s,1483996.0,OPTIMAL,1.83s
j2021_5,3.55s,3639265.0,OPTIMAL,3.68s
j2021_6,2.78s,2481799.0,OPTIMAL,3.06s
j2021_7,4.37s,2687894.0,OPTIMAL,4.46s
j2021_8,23.39s,3027056.0,OPTIMAL,23.64s
j2021_9,2.55s,2295941.0,OPTIMAL,2.63s
j2022_1,2.16s,3700280.0,OPTIMAL,2.25s
j2022_10,5.24s,5468636.0,OPTIMAL,5.38s
j2022_2,3.24s,2730501.0,OPTIMAL,3.32s
j2022_3,5.04s,4463472.0,OPTIMAL,5.18s
j2022_4,6.82s,5214591.0,OPTIMAL,6.95s
j2022_5,3.09s,3124610.0,OPTIMAL,3.32s
j2022_6,4.06s,5202907.0,OPTIMAL,4.24s
j2022_7,2.12s,2312180.0,OPTIMAL,2.28s
j2022_8,5.44s,3979850.0,OPTIMAL,5.56s
j2022_9,4.00s,4496647.0,OPTIMAL,4.12s
j2023_1,4.64s,5417191.0,OPTIMAL,4.74s
j2023_10,2.92s,6773097.0,OPTIMAL,3.02s
j2023_2,3.97s,6922626.0,OPTIMAL,4.15s
j2023_3,6.12s,5947107.0,OPTIMAL,6.57s
j2023_4,6.32s,5178360.0,OPTIMAL,6.96s
j2023_5,5.48s,8211572.0,OPTIMAL,5.63s
j2023_6,4.37s,4371761.0,OPTIMAL,4.52s
j2023_7,5.64s,8118193.0,OPTIMAL,5.97s
j2023_8,5.22s,7319856.0,OPTIMAL,5.36s
j2023_9,5.03s,5226202.0,OPTIMAL,5.20s
j2024_1,4.26s,6730534.0,OPTIMAL,4.45s
j2024_10,6.49s,10026831.0,OPTIMAL,6.68s
j2024_2,7.77s,5507168.0,OPTIMAL,7.89s
j2024_3,6.03s,11429839.0,OPTIMAL,6.57s
j2024_4,5.63s,6319825.0,OPTIMAL,6.21s
j2024_5,3.34s,4981862.0,OPTIMAL,3.48s
j2024_6,5.87s,9700332.0,OPTIMAL,6.07s
j2024_7,5.66s,13453040.0,OPTIMAL,5.76s
j2024_8,5.74s,6973423.0,OPTIMAL,6.75s
j2024_9,5.88s,12524364.0,OPTIMAL,6.11s
j2025_1,719.85ms,649979.0,OPTIMAL,862.94ms
j2025_10,654.17ms,680393.0,OPTIMAL,743.60ms
j2025_2,1.24s,1179135.0,OPTIMAL,1.32s
j2025_3,812.30ms,719168.0,OPTIMAL,897.71ms
j2025_4,1.27s,938026.0,OPTIMAL,1.42s
j2025_5,1.00s,1001194.0,OPTIMAL,1.11s
j2025_6,856.35ms,1222530.0,OPTIMAL,1.12s
j2025_7,494.36ms,730371.0,OPTIMAL,582.13ms
j2025_8,1.14s,1377560.0,OPTIMAL,1.23s
j2025_9,749.88ms,779581.0,OPTIMAL,808.94ms
j2026_1,1.45s,1634858.0,OPTIMAL,1.60s
j2026_10,1.33s,1137146.0,OPTIMAL,1.46s
j2026_2,922.58ms,1387381.0,OPTIMAL,1.02s
j2026_3,2.34s,2094795.0,OPTIMAL,2.46s
j2026_4,772.97ms,1209634.0,OPTIMAL,871.42ms
j2026_5,1.08s,1665329.0,OPTIMAL,1.19s
j2026_6,916.92ms,984368.0,OPTIMAL,1.00s
j2026_7,668.71ms,1209195.0,OPTIMAL,730.15ms
j2026_8,1.08s,1532998.0,OPTIMAL,1.15s
j2026_9,1.95s,1772207.0,OPTIMAL,2.05s
j2027_1,2.90s,3575981.0,OPTIMAL,3.00s
j2027_10,2.70s,3351863.0,OPTIMAL,2.85s
j2027_2,1.50s,3084386.0,OPTIMAL,1.60s
j2027_3,2.35s,2434333.0,OPTIMAL,2.43s
j2027_4,1.32s,2349327.0,OPTIMAL,1.40s
j2027_5,1.29s,2146486.0,OPTIMAL,1.37s
j2027_6,2.15s,2465563.0,OPTIMAL,2.61s
j2027_7,2.08s,2895286.0,OPTIMAL,2.22s
j2027_8,2.17s,2654512.0,OPTIMAL,2.44s
j2027_9,3.23s,2459979.0,OPTIMAL,3.33s
j2028_1,2.45s,3096818.0,OPTIMAL,2.54s
j2028_10,1.98s,2814385.0,OPTIMAL,2.08s
j2028_2,1.57s,2892395.0,OPTIMAL,2.03s
j2028_3,2.83s,4683249.0,OPTIMAL,2.94s
j2028_4,1.27s,2202737.0,OPTIMAL,1.37s
j2028_5,3.49s,3708770.0,OPTIMAL,3.79s
j2028_6,1.69s,3139271.0,OPTIMAL,1.79s
j2028_7,697.91ms,1564089.0,OPTIMAL,778.95ms
j2028_8,3.44s,3893115.0,OPTIMAL,3.56s
j2028_9,2.99s,4653288.0,OPTIMAL,4.86s
j2029_1,13.14s,1878067.0,OPTIMAL,13.26s
j2029_10,4.13s,1878552.0,OPTIMAL,4.25s
j2029_2,4.19s,2678558.0,OPTIMAL,4.32s
j2029_3,3.02s,2488505.0,OPTIMAL,3.14s
j2029_4,7.53s,2017783.0,OPTIMAL,7.72s
j2029_5,35.00s,3041486.0,OPTIMAL,35.39s
j2029_6,4.67s,1712401.0,OPTIMAL,4.85s
j2029_7,20.52s,3403940.0,OPTIMAL,21.01s
j2029_8,4.10s,3558918.0,OPTIMAL,4.35s
j2029_9,13.59s,2175334.0,OPTIMAL,13.79s
j2030_1,3.83s,3999725.0,OPTIMAL,4.11s
j2030_10,2.58s,3150856.0,OPTIMAL,2.69s
j2030_2,4.35s,4806693.0,OPTIMAL,4.47s
j2030_3,2.96s,2868610.0,OPTIMAL,3.04s
j2030_4,3.53s,3598643.0,OPTIMAL,3.85s
j2030_5,7.21s,4337226.0,OPTIMAL,7.32s
j2030_6,2.59s,3251467.0,OPTIMAL,3.29s
j2030_7,4.54s,4205784.0,OPTIMAL,4.66s
j2030_8,4.60s,4635814.0,OPTIMAL,4.70s
j2030_9,3.72s,2885972.0,OPTIMAL,3.84s
j2031_1,5.86s,5885425.0,OPTIMAL,6.01s
j2031_10,2.69s,4222983.0,OPTIMAL,2.78s
j2031_2,2.74s,4414402.0,OPTIMAL,2.84s
j2031_3,4.31s,4647936.0,OPTIMAL,4.41s
j2031_4,2.55s,3760716.0,OPTIMAL,2.63s
j2031_5,4.01s,6265594.0,OPTIMAL,4.13s
j2031_6,3.53s,5120852.0,OPTIMAL,3.77s
j2031_7,1.92s,3242442.0,OPTIMAL,2.02s
j2031_8,2.69s,4470547.0,OPTIMAL,2.76s
j2031_9,3.48s,5472267.0,OPTIMAL,3.56s
j2032_1,6.98s,6519644.0,OPTIMAL,7.11s
j2032_10,9.04s,9427158.0,OPTIMAL,9.18s
j2032_2,4.08s,7612473.0,OPTIMAL,4.35s
j2032_3,4.43s,8767715.0,OPTIMAL,4.53s
j2032_4,3.05s,4939324.0,OPTIMAL,3.16s
j2032_5,5.92s,8691439.0,OPTIMAL,6.12s
j2032_6,6.37s,9442393.0,OPTIMAL,6.57s
j2032_7,6.50s,5798919.0,OPTIMAL,6.65s
j2032_8,4.65s,10561911.0,OPTIMAL,4.76s
j2032_9,4.20s,7502560.0,OPTIMAL,4.34s
j2033_1,3.01s,535561.0,OPTIMAL,3.19s
j2033_10,2.16s,585647.0,OPTIMAL,2.41s
j2033_2,2.71s,871401.0,OPTIMAL,2.78s
j2033_3,9.54s,409596.0,OPTIMAL,9.63s
j2033_4,3.52s,644978.0,OPTIMAL,3.61s
j2033_5,3.07s,549357.0,OPTIMAL,3.21s
j2033_6,6.93s,629537.0,OPTIMAL,7.05s
j2033_7,3.83s,926614.0,OPTIMAL,3.93s
j2033_8,5.25s,439643.0,OPTIMAL,5.41s
j2033_9,2.24s,661443.0,OPTIMAL,2.35s
j2034_1,4.93s,1674423.0,OPTIMAL,5.28s
j2034_10,2.42s,882853.0,OPTIMAL,2.50s
j2034_2,11.06s,1364948.0,OPTIMAL,11.29s
j2034_3,2.11s,1001536.0,OPTIMAL,2.16s
j2034_4,2.34s,1318032.0,OPTIMAL,2.51s
j2034_5,6.92s,1274932.0,OPTIMAL,7.20s
j2034_6,3.82s,1269191.0,OPTIMAL,3.93s
j2034_7,2.51s,1038200.0,OPTIMAL,2.62s
j2034_8,1.46s,974770.0,OPTIMAL,1.54s
j2034_9,2.28s,918157.0,OPTIMAL,2.39s
j2035_1,2.39s,1087778.0,OPTIMAL,2.55s
j2035_10,3.11s,2440308.0,OPTIMAL,3.19s
j2035_2,9.16s,1118347.0,OPTIMAL,9.28s
j2035_3,1.70s,1414952.0,OPTIMAL,1.97s
j2035_4,10.40s,1974305.0,OPTIMAL,10.51s
j2035_5,1.26s,1157975.0,OPTIMAL,1.42s
j2035_6,2.71s,1819491.0,OPTIMAL,2.80s
j2035_7,1.94s,1694924.0,OPTIMAL,2.06s
j2035_8,1.98s,1888922.0,OPTIMAL,2.13s
j2035_9,2.96s,2160859.0,OPTIMAL,3.16s
j2037_1,60.35s,1234225.0,SATISFIABLE,60.90s
j2037_10,60.69s,1627707.0,SATISFIABLE,61.14s
j2037_2,38.87s,1888478.0,OPTIMAL,39.22s
j2037_3,60.60s,1454498.0,SATISFIABLE,60.99s
j2037_4,37.91s,1283986.0,OPTIMAL,38.30s
j2037_5,60.03s,1949377.0,SATISFIABLE,60.36s
j2037_6,16.04s,1396810.0,OPTIMAL,16.20s
j2037_7,60.29s,1239695.0,SATISFIABLE,60.66s
j2037_8,60.55s,2339668.0,SATISFIABLE,72.74s
j2037_9,60.04s,1943962.0,SATISFIABLE,60.48s
j2038_1,6.20s,2635394.0,OPTIMAL,6.48s
j2038_10,27.33s,1931111.0,OPTIMAL,27.60s
j2038_2,33.17s,3110658.0,OPTIMAL,33.38s
j2038_3,4.49s,3092775.0,OPTIMAL,5.60s
j2038_4,60.44s,3581956.0,SATISFIABLE,60.81s
j2038_5,6.51s,2633882.0,OPTIMAL,6.66s
j2038_6,8.64s,3128303.0,OPTIMAL,8.83s
j2038_7,14.48s,1853609.0,OPTIMAL,14.68s
j2038_8,3.68s,2438846.0,OPTIMAL,3.80s
j2038_9,5.17s,2168028.0,OPTIMAL,5.32s
j2039_1,7.66s,2614996.0,OPTIMAL,7.88s
j2039_10,3.18s,4600573.0,OPTIMAL,3.34s
j2039_2,6.88s,2962619.0,OPTIMAL,7.01s
j2039_3,7.40s,4874719.0,OPTIMAL,7.51s
j2039_4,5.30s,4476360.0,OPTIMAL,5.43s
j2039_5,4.18s,3807807.0,OPTIMAL,4.31s
j2039_6,5.90s,3262315.0,OPTIMAL,6.02s
j2039_7,9.92s,6714218.0,OPTIMAL,10.21s
j2039_8,4.68s,4070364.0,OPTIMAL,4.78s
j2039_9,15.58s,4101689.0,OPTIMAL,15.78s
j203_2,2.35s,1587127.0,OPTIMAL,2.49s
j203_5,1.52s,2015013.0,OPTIMAL,1.70s
j2040_1,12.91s,6552028.0,OPTIMAL,13.07s
j2040_10,4.51s,4636851.0,OPTIMAL,4.61s
j2040_2,9.16s,4858131.0,OPTIMAL,11.57s
j2040_3,5.65s,4410591.0,OPTIMAL,5.84s
j2040_4,12.41s,5627658.0,OPTIMAL,12.60s
j2040_5,9.14s,6482518.0,OPTIMAL,9.30s
j2040_6,12.03s,6815497.0,OPTIMAL,12.14s
j2040_7,14.51s,10073326.0,OPTIMAL,14.83s
j2040_8,4.81s,4406448.0,OPTIMAL,4.93s
j2040_9,5.24s,5905823.0,OPTIMAL,5.41s
j2041_1,1.21s,576490.0,OPTIMAL,1.33s
j2041_10,5.38s,605752.0,OPTIMAL,5.52s
j2041_2,2.48s,481600.0,OPTIMAL,2.57s
j2041_3,4.06s,765470.0,OPTIMAL,4.82s
j2041_4,1.84s,762784.0,OPTIMAL,2.01s
j2041_5,1.08s,530832.0,OPTIMAL,1.20s
j2041_6,1.90s,815323.0,OPTIMAL,1.97s
j2041_7,1.33s,681916.0,OPTIMAL,1.43s
j2041_8,10.99s,688299.0,OPTIMAL,11.12s
j2041_9,4.08s,724385.0,OPTIMAL,4.18s
j2042_1,2.57s,1994923.0,OPTIMAL,2.71s
j2042_10,2.31s,903499.0,OPTIMAL,2.43s
j2042_2,2.58s,1102443.0,OPTIMAL,2.80s
j2042_3,1.64s,1838053.0,OPTIMAL,1.78s
j2042_4,1.95s,1578901.0,OPTIMAL,2.06s
j2042_5,2.13s,1064369.0,OPTIMAL,2.24s
j2042_6,1.56s,955996.0,OPTIMAL,1.64s
j2042_7,1.94s,1370941.0,OPTIMAL,2.02s
j2042_8,2.62s,1615553.0,OPTIMAL,2.74s
j2042_9,1.25s,2126875.0,OPTIMAL,1.35s
j2043_1,1.81s,2044648.0,OPTIMAL,1.94s
j2043_10,1.98s,1994508.0,OPTIMAL,2.13s
j2043_2,2.00s,2295356.0,OPTIMAL,2.10s
j2043_3,1.69s,1572756.0,OPTIMAL,1.83s
j2043_4,1.34s,1546460.0,OPTIMAL,1.41s
j2043_5,1.73s,2524967.0,OPTIMAL,1.81s
j2043_6,3.63s,2403760.0,OPTIMAL,3.72s
j2043_7,2.96s,2079075.0,OPTIMAL,3.04s
j2043_8,1.87s,2414781.0,OPTIMAL,2.41s
j2043_9,2.46s,2326130.0,OPTIMAL,2.59s
j2044_1,2.44s,3100255.0,OPTIMAL,2.66s
j2044_10,1.28s,2027652.0,OPTIMAL,1.35s
j2044_2,3.80s,3154995.0,OPTIMAL,3.89s
j2044_3,1.82s,2163645.0,OPTIMAL,1.93s
j2044_4,3.73s,2559491.0,OPTIMAL,3.81s
j2044_5,2.38s,2544588.0,OPTIMAL,2.47s
j2044_6,5.57s,2809058.0,OPTIMAL,5.68s
j2044_7,1.66s,1838621.0,OPTIMAL,1.83s
j2044_8,1.69s,2249973.0,OPTIMAL,1.80s
j2044_9,2.26s,2842030.0,OPTIMAL,2.36s
j2045_1,59.75s,3186678.0,SATISFIABLE,60.49s
j2045_10,60.49s,2070374.0,SATISFIABLE,61.34s
j2045_2,27.57s,2050434.0,OPTIMAL,27.82s
j2045_3,59.95s,1708875.0,SATISFIABLE,60.29s
j2045_4,59.95s,1395895.0,SATISFIABLE,60.29s
j2045_5,25.10s,1932733.0,OPTIMAL,25.28s
j2045_6,3.44s,1210226.0,OPTIMAL,3.55s
j2045_7,59.81s,1780231.0,SATISFIABLE,60.60s
j2045_8,60.43s,1684501.0,SATISFIABLE,60.82s
j2045_9,48.09s,1687976.0,OPTIMAL,48.51s
j2046_1,17.75s,3445600.0,OPTIMAL,17.94s
j2046_10,6.11s,5272838.0,OPTIMAL,6.22s
j2046_2,7.42s,3837663.0,OPTIMAL,7.78s
j2046_3,24.45s,2760224.0,OPTIMAL,24.70s
j2046_4,4.45s,3187653.0,OPTIMAL,4.58s
j2046_5,2.89s,2888081.0,OPTIMAL,3.02s
j2046_6,8.30s,4108367.0,OPTIMAL,8.50s
j2046_7,6.62s,2011315.0,OPTIMAL,6.88s
j2046_8,5.17s,2835216.0,OPTIMAL,5.28s
j2046_9,4.08s,2935783.0,OPTIMAL,4.19s
j2047_1,10.19s,5627533.0,OPTIMAL,11.48s
j2047_10,6.60s,3551529.0,OPTIMAL,6.72s
j2047_2,3.94s,3971125.0,OPTIMAL,4.64s
j2047_3,2.98s,6949717.0,OPTIMAL,3.44s
j2047_4,2.54s,4409151.0,OPTIMAL,2.70s
j2047_5,2.49s,2878144.0,OPTIMAL,2.56s
j2047_6,3.56s,4591959.0,OPTIMAL,3.69s
j2047_7,4.66s,3443293.0,OPTIMAL,4.77s
j2047_8,3.32s,6530408.0,OPTIMAL,3.40s
j2047_9,2.70s,2691678.0,OPTIMAL,2.80s
j2048_1,7.78s,6035661.0,OPTIMAL,7.97s
j2048_10,5.66s,5063374.0,OPTIMAL,5.77s
j2048_2,3.95s,6383818.0,OPTIMAL,4.05s
j2048_3,4.23s,10946053.0,OPTIMAL,4.34s
j2048_4,9.42s,8159207.0,OPTIMAL,9.95s
j2048_5,2.79s,5932512.0,OPTIMAL,2.89s
j2048_6,6.29s,7660602.0,OPTIMAL,6.48s
j2048_7,1.93s,3844250.0,OPTIMAL,2.02s
j2048_8,3.77s,6051592.0,OPTIMAL,3.92s
j2048_9,2.87s,5305724.0,OPTIMAL,2.98s
j2049_1,1.24s,498158.0,OPTIMAL,1.38s
j2049_10,1.04s,930590.0,OPTIMAL,1.19s
j2049_2,837.36ms,974803.0,OPTIMAL,908.80ms
j2049_3,1.27s,909979.0,OPTIMAL,1.60s
j2049_4,831.81ms,348849.0,OPTIMAL,1.03s
j2049_5,866.80ms,837673.0,OPTIMAL,953.04ms
j2049_6,1.03s,420321.0,OPTIMAL,1.14s
j2049_7,1.17s,1160929.0,OPTIMAL,1.29s
j2049_8,1.09s,771754.0,OPTIMAL,1.19s
