benchmark,cpu_time,number_of_decisions,status,wall_time
J50100_1,18.32,32268758,OPTIMAL,19.21
J50100_2,29.26,37212466,OPTIMAL,30.55
J50100_3,180.89,45748286,SATISFIABLE,182.83
J50100_4,176.59,43615530,SATISFIABLE,182.96
J50100_5,36.35,33832829,OPTIMAL,38.53
J50101_1,67.4,42369470,OPTIMAL,70.01
J50101_2,61.99,47260546,OPTIMAL,63.75
J50101_3,60.78,53312663,OPTIMAL,62.67
J50101_4,43.66,52338605,OPTIMAL,44.66
J50101_5,37.51,42162859,OPTIMAL,38.6
J50102_1,34.71,38881782,OPTIMAL,37.1
J50102_2,57.44,45046434,OPTIMAL,58.37
J50102_3,25.81,41511773,OPTIMAL,27.39
J50102_4,48.76,46163885,OPTIMAL,50.55
J50102_5,36.96,61303301,OPTIMAL,38.04
J50103_1,181.69,126700459,SATISFIABLE,185.59
J50103_2,181.65,133175085,SATISFIABLE,184.23
J50103_3,182.0,54821541,SATISFIABLE,183.84
J50103_4,182.86,126044063,SATISFIABLE,185.69
J50103_5,181.97,75388969,SATISFIABLE,184.66
J50104_1,182.09,113031844,SATISFIABLE,184.4
J50104_2,181.31,102790355,SATISFIABLE,184.84
J50104_3,180.12,117900152,SATISFIABLE,184.82
J50104_4,182.49,71337679,SATISFIABLE,185.32
J50104_5,181.59,101391565,SATISFIABLE,184.29
J50105_1,123.19,89221070,OPTIMAL,127.24
J50105_2,84.93,106632823,OPTIMAL,87.83
J50105_3,72.18,133364221,OPTIMAL,75.15
J50105_4,69.33,90833800,OPTIMAL,70.8
J50105_5,59.73,152845784,OPTIMAL,62.69
J50106_1,181.52,128861523,SATISFIABLE,192.92
J50106_2,182.69,77719523,SATISFIABLE,184.96
J50106_3,179.59,101677926,SATISFIABLE,183.89
J50106_4,182.13,125308671,SATISFIABLE,184.45
J50106_5,179.98,118020179,SATISFIABLE,183.46
J50107_1,103.0,131950317,OPTIMAL,104.76
J50107_2,73.04,101340196,OPTIMAL,76.41
J50107_3,163.52,220406822,OPTIMAL,168.06
J50107_4,123.68,184620450,OPTIMAL,125.74
J50107_5,63.49,92370317,OPTIMAL,65.77
J50108_1,68.13,78888485,OPTIMAL,69.94
J50108_2,81.5,106552497,OPTIMAL,84.72
J50108_3,85.23,93386371,OPTIMAL,87.93
J50108_4,57.64,116525883,OPTIMAL,59.95
J50108_5,70.4,81415201,OPTIMAL,72.25
J5010_1,181.66,85836195,SATISFIABLE,185.22
J5010_2,179.8,61336336,SATISFIABLE,183.4
J5010_3,180.73,75961019,SATISFIABLE,188.23
J5010_4,181.33,74973111,SATISFIABLE,183.87
J5010_5,180.45,57972177,SATISFIABLE,183.88
J5011_1,182.3,80836673,SATISFIABLE,184.66
J5011_2,181.39,88694884,SATISFIABLE,183.87
