benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,2.13s,1375186,OPTIMAL,2.19s
j2010_10,2.14s,1626240,OPTIMAL,2.73s
j2010_2,1.75s,2227668,OPTIMAL,1.82s
j2010_3,1.07s,1703824,OPTIMAL,1.31s
j2010_4,2.23s,1846514,OPTIMAL,2.37s
j2010_5,2.06s,2359975,OPTIMAL,2.58s
j2010_6,4.04s,2546417,OPTIMAL,4.21s
j2010_7,2.99s,1633074,OPTIMAL,3.07s
j2010_8,1.11s,2213168,OPTIMAL,1.22s
j2010_9,3.62s,1412411,OPTIMAL,3.71s
j2011_1,1.49s,4055066,OPTIMAL,1.57s
j2011_10,3.25s,3281093,OPTIMAL,3.35s
j2011_2,1.34s,3031248,OPTIMAL,1.55s
j2011_3,2.55s,2569926,OPTIMAL,2.65s
j2011_4,3.50s,2542209,OPTIMAL,3.58s
j2011_5,2.66s,4098534,OPTIMAL,2.99s
j2011_6,2.44s,3409473,OPTIMAL,2.56s
j2011_7,986.04ms,2164048,OPTIMAL,1.10s
j2011_8,3.94s,3226521,OPTIMAL,4.21s
j2011_9,4.02s,3233560,OPTIMAL,4.13s
j2012_1,4.27s,3963380,OPTIMAL,4.35s
j2012_10,1.24s,3696981,OPTIMAL,1.32s
j2012_2,1.90s,4391398,OPTIMAL,1.97s
j2012_3,2.58s,5223486,OPTIMAL,2.65s
j2012_4,2.06s,3868603,OPTIMAL,2.31s
j2012_5,2.42s,6004338,OPTIMAL,2.53s
j2012_6,2.85s,7072013,OPTIMAL,3.24s
j2012_7,1.34s,3283875,OPTIMAL,1.47s
j2012_8,1.87s,3599027,OPTIMAL,1.93s
j2012_9,3.43s,2400200,OPTIMAL,3.72s
j2013_1,60.51s,4142662,SATISFIABLE,60.91s
j2013_10,59.77s,2040152,SATISFIABLE,60.31s
j2013_2,60.43s,2939992,SATISFIABLE,60.80s
j2013_3,60.65s,1513601,SATISFIABLE,61.17s
j2013_4,11.06s,4620073,OPTIMAL,11.24s
j2013_5,58.61s,5355323,SATISFIABLE,60.19s
j2013_6,8.57s,3774805,OPTIMAL,8.69s
j2013_7,60.37s,2037369,SATISFIABLE,60.80s
j2013_8,60.58s,4796193,SATISFIABLE,60.89s
j2013_9,54.48s,3959063,OPTIMAL,54.79s
j2014_1,5.46s,3698816,OPTIMAL,5.59s
j2014_10,3.64s,5336508,OPTIMAL,3.77s
j2014_2,6.26s,5772824,OPTIMAL,6.96s
j2014_3,6.37s,8393338,OPTIMAL,6.48s
j2014_4,44.74s,6209172,OPTIMAL,45.11s
j2014_5,9.22s,4308012,OPTIMAL,9.43s
j2014_6,10.12s,5574564,OPTIMAL,10.24s
j2014_7,4.82s,4398893,OPTIMAL,4.91s
j2014_8,22.97s,6223873,OPTIMAL,23.17s
j2014_9,2.69s,5837351,OPTIMAL,2.79s
j2015_1,3.28s,6045238,OPTIMAL,3.41s
j2015_10,2.44s,6189649,OPTIMAL,2.54s
j2015_2,3.23s,6903708,OPTIMAL,3.43s
j2015_3,3.70s,9741576,OPTIMAL,3.92s
j2015_4,4.06s,8409806,OPTIMAL,4.27s
j2015_5,3.10s,6627494,OPTIMAL,3.61s
j2015_6,2.73s,9446811,OPTIMAL,2.83s
j2015_7,6.50s,9066100,OPTIMAL,6.80s
j2015_8,5.40s,7362182,OPTIMAL,5.50s
j2015_9,2.62s,9709544,OPTIMAL,2.71s
j2016_1,3.39s,8443715,OPTIMAL,3.50s
j2016_10,3.86s,7604751,OPTIMAL,3.96s
j2016_2,4.31s,9104034,OPTIMAL,4.42s
j2016_3,4.64s,7860996,OPTIMAL,4.78s
j2016_4,4.79s,9257490,OPTIMAL,4.91s
j2016_5,4.33s,7862924,OPTIMAL,5.01s
j2016_6,5.63s,7910285,OPTIMAL,5.79s
j2016_7,4.03s,10067775,OPTIMAL,4.19s
j2016_8,4.45s,7519857,OPTIMAL,4.65s
j2016_9,3.76s,11005525,OPTIMAL,3.87s
j2017_1,2.40s,1810732,OPTIMAL,2.47s
j2017_10,2.66s,1167657,OPTIMAL,2.73s
j2017_2,1.94s,980052,OPTIMAL,2.58s
j2017_3,2.78s,1657371,OPTIMAL,2.85s
j2017_4,1.72s,1124145,OPTIMAL,1.80s
j2017_5,1.34s,1001313,OPTIMAL,1.41s
j2017_6,1.89s,746979,OPTIMAL,1.98s
j2017_7,2.51s,1436943,OPTIMAL,2.66s
j2017_8,2.36s,1249105,OPTIMAL,2.66s
j2017_9,1.96s,1297996,OPTIMAL,2.11s
j2018_1,1.77s,1817584,OPTIMAL,1.84s
j2018_10,1.79s,1440890,OPTIMAL,1.87s
