benchmark,cpu_time,number_of_decisions,status,wall_time
j2010_1,612.21ms,246021,OPTIMAL,667.22ms
j2010_10,1.03s,597722,OPTIMAL,1.30s
j2010_2,418.78ms,125945,OPTIMAL,529.82ms
j2010_3,604.05ms,200674,OPTIMAL,702.88ms
j2010_4,655.88ms,347413,OPTIMAL,947.01ms
j2010_5,930.20ms,437086,OPTIMAL,1.03s
j2010_6,529.85ms,177259,OPTIMAL,778.53ms
j2010_7,523.20ms,140000,OPTIMAL,585.70ms
j2010_8,451.97ms,137582,OPTIMAL,700.61ms
j2010_9,464.43ms,138083,OPTIMAL,559.47ms
j2011_1,754.76ms,205327,OPTIMAL,833.02ms
j2011_10,667.18ms,193813,OPTIMAL,827.92ms
j2011_2,659.25ms,166368,OPTIMAL,735.47ms
j2011_3,796.89ms,221152,OPTIMAL,888.64ms
j2011_4,843.76ms,430852,OPTIMAL,926.11ms
j2011_5,710.74ms,245685,OPTIMAL,791.12ms
j2011_6,1.83s,814867,OPTIMAL,1.90s
j2011_7,572.64ms,133073,OPTIMAL,628.93ms
j2011_8,780.83ms,279686,OPTIMAL,1.11s
j2011_9,1.23s,604684,OPTIMAL,1.33s
j2012_1,946.76ms,253211,OPTIMAL,1.09s
j2012_10,724.80ms,228939,OPTIMAL,919.03ms
j2012_2,669.26ms,191528,OPTIMAL,774.66ms
j2012_3,812.37ms,235803,OPTIMAL,984.08ms
j2012_4,804.39ms,289786,OPTIMAL,878.63ms
j2012_5,669.90ms,237331,OPTIMAL,2.39s
j2012_6,1.09s,365455,OPTIMAL,1.20s
j2012_7,664.96ms,187103,OPTIMAL,747.10ms
j2012_8,547.94ms,132009,OPTIMAL,692.42ms
j2012_9,835.91ms,312868,OPTIMAL,1.34s
j2013_1,10.77s,385347,OPTIMAL,10.92s
j2013_10,17.66s,350609,OPTIMAL,17.86s
j2013_2,8.96s,521152,OPTIMAL,9.17s
j2013_3,31.56s,653074,OPTIMAL,31.82s
j2013_4,3.36s,859387,OPTIMAL,3.54s
j2013_5,9.41s,444586,OPTIMAL,9.65s
j2013_6,1.50s,244401,OPTIMAL,2.29s
j2013_7,6.20s,651103,OPTIMAL,6.98s
j2013_8,16.88s,509954,OPTIMAL,17.04s
j2013_9,1.72s,320166,OPTIMAL,1.91s
j2014_1,1.02s,203146,OPTIMAL,1.62s
j2014_10,1.10s,187088,OPTIMAL,1.25s
j2014_2,2.02s,324726,OPTIMAL,2.14s
j2014_3,1.32s,231734,OPTIMAL,1.39s
j2014_4,4.15s,917527,OPTIMAL,4.34s
j2014_5,1.18s,266984,OPTIMAL,1.31s
j2014_6,947.96ms,190370,OPTIMAL,1.46s
j2014_7,883.54ms,194935,OPTIMAL,1.08s
j2014_8,1.51s,273296,OPTIMAL,1.61s
j2014_9,1.56s,327854,OPTIMAL,1.73s
j2015_1,990.66ms,187684,OPTIMAL,1.15s
j2015_10,1.07s,183834,OPTIMAL,1.25s
j2015_2,1.19s,175513,OPTIMAL,1.34s
j2015_3,1.28s,205725,OPTIMAL,1.38s
j2015_4,1.28s,213294,OPTIMAL,1.41s
j2015_5,1.42s,264024,OPTIMAL,1.54s
j2015_6,1.48s,275999,OPTIMAL,1.58s
j2015_7,1.57s,278682,OPTIMAL,2.13s
j2015_8,2.80s,834111,OPTIMAL,4.35s
j2015_9,1.39s,236648,OPTIMAL,1.50s
j2016_1,1.58s,252279,OPTIMAL,1.71s
j2016_10,1.49s,293432,OPTIMAL,1.83s
j2016_2,1.24s,183164,OPTIMAL,1.37s
j2016_3,1.29s,196792,OPTIMAL,1.39s
j2016_4,1.90s,300077,OPTIMAL,2.01s
j2016_5,984.33ms,133133,OPTIMAL,1.12s
j2016_6,1.32s,233039,OPTIMAL,1.93s
j2016_7,1.55s,223231,OPTIMAL,1.70s
j2016_8,1.14s,215855,OPTIMAL,1.28s
j2016_9,1.43s,209563,OPTIMAL,1.69s
j2017_1,587.82ms,172941,OPTIMAL,659.43ms
j2017_10,588.82ms,329095,OPTIMAL,1.47s
j2017_2,845.53ms,388240,OPTIMAL,952.56ms
j2017_3,441.55ms,127177,OPTIMAL,636.63ms
j2017_4,739.74ms,225825,OPTIMAL,840.62ms
j2017_5,639.83ms,271650,OPTIMAL,3.28s
j2017_6,444.67ms,146649,OPTIMAL,501.61ms
j2017_7,647.42ms,244159,OPTIMAL,975.68ms
j2017_8,390.65ms,121690,OPTIMAL,487.95ms
j2017_9,633.12ms,235266,OPTIMAL,715.32ms
j2018_1,501.73ms,113010,OPTIMAL,593.38ms
j2018_10,580.13ms,141608,OPTIMAL,638.54ms
j2018_2,653.48ms,158699,OPTIMAL,723.44ms
j2018_3,700.64ms,267875,OPTIMAL,789.33ms
j2018_4,826.30ms,305862,OPTIMAL,1.04s
j2018_5,569.43ms,173670,OPTIMAL,1.20s
j2018_6,401.64ms,128724,OPTIMAL,726.30ms
j2018_7,538.51ms,179612,OPTIMAL,995.70ms
j2018_8,450.95ms,122654,OPTIMAL,1.26s
j2018_9,760.36ms,237052,OPTIMAL,833.73ms
j2019_1,641.59ms,170908,OPTIMAL,1.50s
j2019_10,447.66ms,110465,OPTIMAL,540.09ms
j2019_2,567.37ms,238616,OPTIMAL,699.02ms
j2019_3,601.89ms,128617,OPTIMAL,702.23ms
j2019_4,521.57ms,142439,OPTIMAL,784.79ms
j2019_5,521.87ms,126255,OPTIMAL,630.83ms
j2019_6,447.99ms,117042,OPTIMAL,614.05ms
j2019_7,568.99ms,180127,OPTIMAL,734.44ms
j2019_8,588.04ms,137934,OPTIMAL,678.24ms
j2019_9,493.21ms,145094,OPTIMAL,688.89ms
j2020_1,760.71ms,231130,OPTIMAL,839.57ms
j2020_10,577.99ms,207265,OPTIMAL,637.76ms
j2020_2,664.25ms,188715,OPTIMAL,748.84ms
j2020_3,609.10ms,158083,OPTIMAL,677.83ms
j2020_4,512.19ms,139814,OPTIMAL,588.93ms
j2020_5,667.12ms,164214,OPTIMAL,764.64ms
j2020_6,586.04ms,185981,OPTIMAL,814.90ms
j2020_7,662.45ms,181296,OPTIMAL,769.87ms
j2020_8,630.97ms,192632,OPTIMAL,706.40ms
j2020_9,549.66ms,149250,OPTIMAL,652.30ms
j2021_1,3.19s,556900,OPTIMAL,3.36s
j2021_10,3.14s,738043,OPTIMAL,3.24s
j2021_2,15.99s,483340,OPTIMAL,16.21s
j2021_3,2.18s,547900,OPTIMAL,2.27s
j2021_4,1.42s,266904,OPTIMAL,1.53s
j2021_5,3.91s,526629,OPTIMAL,6.77s
j2021_6,1.81s,267186,OPTIMAL,1.90s
j2021_7,1.80s,327858,OPTIMAL,1.91s
j2021_8,16.79s,564594,OPTIMAL,16.94s
j2021_9,1.71s,293948,OPTIMAL,1.79s
j2022_1,1.11s,217014,OPTIMAL,1.60s
j2022_10,1.20s,185210,OPTIMAL,1.29s
j2022_2,2.45s,570983,OPTIMAL,2.54s
j2022_3,1.24s,234548,OPTIMAL,1.40s
j2022_4,2.74s,385520,OPTIMAL,2.86s
j2022_5,2.22s,488257,OPTIMAL,2.84s
j2022_6,1.36s,187347,OPTIMAL,1.46s
j2022_7,1.07s,230677,OPTIMAL,1.16s
j2022_8,1.68s,310542,OPTIMAL,1.83s
j2022_9,987.27ms,133810,OPTIMAL,1.05s
j2023_1,1.13s,218098,OPTIMAL,1.26s
j2023_10,1.31s,222715,OPTIMAL,1.40s
j2023_2,1.18s,149517,OPTIMAL,1.27s
j2023_3,1.45s,220016,OPTIMAL,1.53s
j2023_4,1.16s,204434,OPTIMAL,1.31s
j2023_5,1.40s,207364,OPTIMAL,1.49s
j2023_6,1.04s,191619,OPTIMAL,1.13s
j2023_7,1.67s,306249,OPTIMAL,1.80s
j2023_8,1.18s,169388,OPTIMAL,1.28s
j2023_9,835.04ms,120959,OPTIMAL,926.13ms
j2024_1,1.26s,208331,OPTIMAL,1.41s
j2024_10,1.75s,238595,OPTIMAL,2.01s
j2024_2,1.07s,164971,OPTIMAL,1.18s
j2024_3,1.47s,277692,OPTIMAL,1.74s
j2024_4,1.31s,207289,OPTIMAL,1.39s
j2024_5,1.13s,190230,OPTIMAL,1.24s
j2024_6,1.41s,169546,OPTIMAL,1.51s
j2024_7,1.57s,249986,OPTIMAL,2.30s
j2024_8,1.19s,193213,OPTIMAL,1.59s
j2024_9,1.73s,272293,OPTIMAL,2.53s
j2025_1,891.64ms,356983,OPTIMAL,973.35ms
j2025_10,514.90ms,235283,OPTIMAL,615.29ms
j2025_2,465.20ms,151476,OPTIMAL,643.60ms
j2025_3,668.19ms,397689,OPTIMAL,789.88ms
j2025_4,522.19ms,122544,OPTIMAL,575.06ms
j2025_5,482.37ms,132965,OPTIMAL,548.66ms
j2025_6,402.83ms,92028,OPTIMAL,500.70ms
j2025_7,483.97ms,153959,OPTIMAL,738.37ms
j2025_8,379.59ms,104771,OPTIMAL,584.66ms
j2025_9,518.29ms,166427,OPTIMAL,599.40ms
j2026_1,292.53ms,62572,OPTIMAL,445.49ms
j2026_10,577.18ms,233131,OPTIMAL,639.02ms
j2026_2,559.71ms,168674,OPTIMAL,1.23s
j2026_3,478.65ms,137908,OPTIMAL,553.85ms
j2026_4,698.91ms,189878,OPTIMAL,771.22ms
j2026_5,564.59ms,164144,OPTIMAL,672.56ms
j2026_6,780.05ms,296757,OPTIMAL,844.31ms
j2026_7,444.14ms,114848,OPTIMAL,719.77ms
j2026_8,466.21ms,124654,OPTIMAL,533.66ms
j2026_9,574.75ms,151710,OPTIMAL,654.50ms
j2027_1,592.06ms,170932,OPTIMAL,713.81ms
j2027_10,558.89ms,178626,OPTIMAL,719.42ms
j2027_2,650.71ms,166928,OPTIMAL,732.82ms
j2027_3,442.38ms,100904,OPTIMAL,642.84ms
j2027_4,601.66ms,158264,OPTIMAL,718.62ms
j2027_5,660.51ms,206803,OPTIMAL,913.65ms
j2027_6,510.81ms,147019,OPTIMAL,629.43ms
j2027_7,557.47ms,191641,OPTIMAL,645.98ms
j2027_8,515.14ms,185301,OPTIMAL,596.33ms
j2027_9,530.13ms,132042,OPTIMAL,923.58ms
j2028_1,661.56ms,183743,OPTIMAL,746.48ms
j2028_10,833.91ms,246108,OPTIMAL,1.00s
j2028_2,647.39ms,192456,OPTIMAL,714.41ms
j2028_3,589.75ms,190735,OPTIMAL,1.12s
j2028_4,586.25ms,181175,OPTIMAL,659.18ms
j2028_5,683.30ms,197073,OPTIMAL,891.06ms
j2028_6,472.95ms,96589,OPTIMAL,612.55ms
j2028_7,660.01ms,203599,OPTIMAL,751.01ms
j2028_8,846.69ms,222670,OPTIMAL,989.60ms
j2028_9,720.24ms,200760,OPTIMAL,1.38s
j2029_1,17.05s,546804,OPTIMAL,17.18s
j2029_10,5.44s,415382,OPTIMAL,5.81s
j2029_2,2.37s,222722,OPTIMAL,2.48s
j2029_3,1.77s,370171,OPTIMAL,2.41s
j2029_4,3.45s,463088,OPTIMAL,3.54s
j2029_5,33.93s,487204,OPTIMAL,34.20s
j2029_6,4.68s,706718,OPTIMAL,4.80s
j2029_7,15.97s,831692,OPTIMAL,16.19s
j2029_8,4.70s,318043,OPTIMAL,5.41s
j2029_9,11.26s,617251,OPTIMAL,11.38s
j2030_1,921.82ms,173018,OPTIMAL,1.01s
j2030_10,1.68s,362964,OPTIMAL,1.77s
j2030_2,3.88s,1187766,OPTIMAL,4.06s
j2030_3,1.91s,202611,OPTIMAL,1.96s
j2030_4,1.04s,208932,OPTIMAL,1.22s
j2030_5,4.32s,325358,OPTIMAL,4.45s
j2030_6,1.05s,164362,OPTIMAL,1.13s
j2030_7,1.24s,223928,OPTIMAL,1.39s
j2030_8,1.29s,228239,OPTIMAL,1.38s
j2030_9,1.15s,191461,OPTIMAL,1.27s
j2031_1,1.01s,210944,OPTIMAL,1.13s
j2031_10,1.18s,222325,OPTIMAL,1.28s
j2031_2,1.17s,185996,OPTIMAL,1.28s
j2031_3,1.57s,270107,OPTIMAL,1.75s
j2031_4,1.09s,209480,OPTIMAL,1.18s
j2031_5,1.27s,192223,OPTIMAL,1.41s
j2031_6,1.32s,207434,OPTIMAL,1.46s
j2031_7,837.94ms,142184,OPTIMAL,989.44ms
j2031_8,959.77ms,184982,OPTIMAL,1.16s
j2031_9,1.13s,145889,OPTIMAL,1.23s
j2032_1,1.13s,171502,OPTIMAL,2.05s
j2032_10,1.15s,165454,OPTIMAL,1.35s
j2032_2,911.47ms,96439,OPTIMAL,993.36ms
j2032_3,1.31s,240647,OPTIMAL,1.49s
j2032_4,785.73ms,131036,OPTIMAL,1.76s
j2032_5,1.35s,202898,OPTIMAL,1.46s
j2032_6,1.46s,225638,OPTIMAL,1.55s
j2032_7,1.43s,206119,OPTIMAL,1.52s
j2032_8,1.56s,210025,OPTIMAL,1.68s
j2032_9,1.22s,182015,OPTIMAL,1.47s
j2033_1,4.21s,281842,OPTIMAL,4.30s
j2033_10,1.97s,219125,OPTIMAL,2.04s
j2033_2,3.41s,328900,OPTIMAL,3.53s
j2033_3,6.27s,317365,OPTIMAL,6.36s
j2033_4,4.26s,421013,OPTIMAL,4.35s
j2033_5,3.90s,170596,OPTIMAL,4.06s
j2033_6,6.09s,257368,OPTIMAL,6.22s
j2033_7,3.02s,339594,OPTIMAL,3.21s
j2033_8,8.28s,331669,OPTIMAL,8.55s
j2033_9,2.06s,399230,OPTIMAL,2.20s
j2034_1,3.00s,303229,OPTIMAL,3.15s
j2034_10,2.76s,389451,OPTIMAL,2.86s
j2034_2,7.75s,455871,OPTIMAL,8.28s
j2034_3,1.23s,274645,OPTIMAL,1.34s
j2034_4,2.34s,335933,OPTIMAL,2.42s
j2034_5,4.23s,436652,OPTIMAL,4.52s
j2034_6,2.31s,278831,OPTIMAL,2.41s
j2034_7,4.18s,167734,OPTIMAL,4.34s
j2034_8,1.61s,585242,OPTIMAL,1.73s
j2034_9,2.27s,321554,OPTIMAL,2.35s
j2035_1,2.50s,393972,OPTIMAL,2.72s
j2035_10,2.05s,283988,OPTIMAL,2.11s
j2035_2,6.73s,241111,OPTIMAL,6.82s
j2035_3,1.73s,254457,OPTIMAL,2.24s
j2035_4,7.02s,504019,OPTIMAL,7.14s
j2035_5,1.75s,505215,OPTIMAL,1.85s
j2035_6,1.98s,263684,OPTIMAL,2.41s
j2035_7,1.75s,189053,OPTIMAL,2.02s
j2035_8,1.80s,301422,OPTIMAL,2.11s
j2035_9,2.84s,445173,OPTIMAL,3.12s
j2037_1,59.79s,646330,SATISFIABLE,60.45s
j2037_10,60.19s,1033766,SATISFIABLE,60.72s
j2037_2,60.63s,469743,SATISFIABLE,61.16s
j2037_3,59.75s,417131,SATISFIABLE,60.29s
j2037_4,33.23s,644573,OPTIMAL,33.62s
j2037_5,60.34s,775030,SATISFIABLE,60.87s
j2037_6,10.85s,560581,OPTIMAL,10.98s
j2037_7,59.64s,737502,SATISFIABLE,60.63s
j2037_8,37.01s,657185,OPTIMAL,37.35s
j2037_9,60.37s,740521,SATISFIABLE,60.70s
j2038_1,13.81s,624096,OPTIMAL,14.85s
j2038_10,14.09s,465275,OPTIMAL,14.37s
j2038_2,60.09s,497886,SATISFIABLE,60.51s
j2038_3,3.44s,469169,OPTIMAL,3.65s
j2038_4,17.50s,630617,OPTIMAL,17.70s
j2038_5,6.13s,363238,OPTIMAL,6.32s
j2038_6,7.41s,431371,OPTIMAL,7.55s
j2038_7,13.02s,450165,OPTIMAL,13.19s
j2038_8,3.30s,238938,OPTIMAL,3.66s
j2038_9,8.98s,470896,OPTIMAL,9.12s
j2039_1,6.64s,379712,OPTIMAL,6.76s
j2039_10,5.08s,358941,OPTIMAL,5.24s
j2039_2,4.62s,320698,OPTIMAL,4.77s
j2039_3,7.07s,527224,OPTIMAL,7.40s
j2039_4,3.50s,194139,OPTIMAL,3.72s
j2039_5,3.17s,185495,OPTIMAL,3.28s
j2039_6,4.37s,527292,OPTIMAL,4.57s
j2039_7,7.42s,292065,OPTIMAL,7.54s
j2039_8,4.66s,350172,OPTIMAL,4.76s
j2039_9,18.53s,405807,OPTIMAL,19.24s
j203_2,951.14ms,232418,OPTIMAL,1.01s
j203_5,496.19ms,42594,OPTIMAL,646.54ms
j2040_1,7.25s,375721,OPTIMAL,7.35s
j2040_10,4.68s,527117,OPTIMAL,4.76s
j2040_2,4.34s,348403,OPTIMAL,5.42s
j2040_3,4.04s,454612,OPTIMAL,4.14s
j2040_4,9.46s,303205,OPTIMAL,9.64s
j2040_5,5.10s,327778,OPTIMAL,5.22s
j2040_6,9.50s,629358,OPTIMAL,10.02s
j2040_7,7.61s,269602,OPTIMAL,7.81s
j2040_8,5.16s,343273,OPTIMAL,6.20s
j2040_9,4.18s,187785,OPTIMAL,6.29s
j2041_1,796.98ms,297280,OPTIMAL,905.68ms
j2041_10,2.48s,144990,OPTIMAL,2.62s
j2041_2,8.53s,286699,OPTIMAL,8.64s
j2041_3,3.39s,457772,OPTIMAL,4.75s
j2041_4,2.92s,390161,OPTIMAL,3.00s
j2041_5,681.72ms,151501,OPTIMAL,1.05s
j2041_6,748.81ms,201512,OPTIMAL,865.56ms
j2041_7,957.52ms,298597,OPTIMAL,1.10s
